escuela_id,fecha_reporte,necesidad_catedras,necesidad_escritorios,necesidad_mesas_exagonales,necesidad_pizzaras
34,08/06/2020,34,13,37,12
51,05/04/2020,8,48,10,28
46,27/10/2017,22,8,16,20
53,27/06/2023,15,22,10,38
38,29/03/2022,45,29,43,12
40,23/02/2021,46,41,27,21
38,13/02/2023,22,52,35,43
35,07/02/2018,41,16,14,40
34,11/12/2017,4,50,29,6
52,28/10/2019,31,4,40,63
32,10/09/2017,44,73,44,30
48,15/02/2023,16,22,0,24
30,02/03/2019,7,49,11,39
32,04/08/2016,46,9,46,34
51,18/02/2021,2,36,13,2
35,06/05/2016,5,49,0,15
44,25/06/2023,31,21,17,16
49,29/04/2017,21,29,17,48
53,11/04/2018,48,21,39,17
51,03/05/2023,8,34,40,43
39,26/10/2019,19,30,46,26
43,10/10/2020,5,4,33,46
42,24/01/2019,12,23,71,8
43,17/03/2015,49,3,0,19
42,11/07/2017,44,39,49,45
50,16/10/2024,41,68,15,17
49,20/11/2023,17,20,48,60
51,19/03/2018,30,38,14,36
45,03/10/2019,24,0,31,35
34,29/04/2024,8,35,4,4
46,13/06/2023,0,13,18,17
50,03/07/2023,49,25,51,94
53,31/03/2016,44,28,20,50
41,30/09/2017,50,15,47,53
52,27/12/2021,35,15,0,10
42,14/09/2021,3,27,96,1
50,01/07/2020,23,34,26,35
45,23/01/2021,12,10,47,27
31,05/02/2020,47,10,17,36
43,10/12/2017,12,1,47,0
44,05/11/2023,20,35,2,3
48,11/09/2015,19,27,16,44
36,18/09/2019,9,43,39,21
40,09/06/2021,9,28,10,30
50,20/04/2020,4,32,48,10
48,15/03/2023,13,33,47,12
42,05/08/2023,68,12,27,43
47,20/03/2021,21,49,20,30
52,14/01/2019,16,20,5,16
53,24/07/2024,6,39,27,5
53,15/06/2023,34,30,23,10
47,20/02/2016,61,35,0,44
54,30/12/2016,32,3,24,16
38,19/10/2022,24,14,50,44
32,01/04/2023,12,12,7,3
53,23/05/2015,29,16,31,50
47,30/10/2020,47,48,26,48
47,10/11/2024,2,13,20,7
38,12/06/2024,42,41,3,47
34,09/02/2018,42,47,17,39
33,18/10/2015,21,5,45,79
48,09/10/2018,19,45,45,21
43,01/05/2016,37,64,48,14
42,19/06/2018,26,38,12,2
39,14/01/2020,51,42,2,9
31,06/07/2024,31,2,38,42
37,31/03/2017,26,32,40,16
30,10/02/2017,13,6,64,21
53,06/11/2024,38,15,5,36
43,01/08/2017,14,4,15,37
34,28/10/2020,41,14,11,38
41,11/03/2020,42,14,33,3
39,20/02/2024,15,71,21,19
43,12/06/2018,3,16,12,13
54,12/12/2018,0,44,34,14
43,30/12/2022,2,30,45,3
44,27/07/2021,15,60,25,42
43,05/02/2019,35,8,8,47
40,13/10/2023,28,51,2,98
31,30/12/2022,44,21,28,41
38,12/04/2019,38,19,14,21
47,27/08/2022,29,30,12,5
32,21/02/2020,50,17,10,29
34,04/05/2020,32,44,17,25
47,02/03/2019,50,2,50,89
40,20/12/2017,14,36,30,3
33,06/09/2016,15,3,27,49
31,25/04/2015,10,3,4,31
38,04/02/2016,28,40,50,69
42,16/11/2018,26,13,1,7
52,11/01/2024,43,39,27,10
54,22/04/2018,31,44,59,59
47,28/12/2017,41,35,10,32
40,31/12/2017,44,23,11,41
51,08/05/2019,85,56,4,7
39,05/02/2018,28,45,44,26
34,17/06/2021,44,3,14,55
41,24/08/2015,41,34,31,50
30,18/12/2020,49,36,48,50
35,15/07/2023,5,46,22,25
43,24/04/2023,11,29,64,49
34,25/08/2018,21,21,90,48
54,21/10/2018,0,12,40,2
45,12/08/2017,32,7,17,32
39,12/01/2021,30,22,8,11
49,25/03/2016,46,40,10,35
49,15/08/2018,45,16,36,93
46,29/04/2018,43,35,2,32
54,13/07/2023,31,26,17,41
46,28/12/2018,32,12,35,21
30,13/08/2017,9,41,41,26
43,30/01/2020,4,29,12,11
47,14/03/2020,27,38,11,42
40,14/04/2015,7,29,31,20
34,04/01/2016,97,4,22,29
32,15/11/2021,9,21,6,5
49,05/01/2015,16,12,45,10
37,10/11/2022,11,35,29,44
51,14/04/2015,50,3,39,5
33,27/07/2018,49,44,25,23
38,24/02/2016,35,8,2,21
47,13/04/2015,23,35,25,37
49,13/12/2019,9,1,11,17
52,20/02/2021,21,27,8,17
32,12/04/2023,11,5,29,25
40,06/10/2021,48,14,25,43
50,05/02/2016,12,26,29,35
35,04/05/2016,47,9,19,34
38,30/05/2022,50,45,16,22
40,09/10/2018,50,28,58,34
48,22/04/2021,46,50,41,41
32,01/01/2019,10,36,47,97
48,31/05/2020,29,7,33,19
51,12/02/2020,22,48,47,22
49,27/08/2023,41,19,16,21
35,25/12/2017,33,35,27,2
45,28/01/2016,30,29,42,42
40,30/06/2019,45,7,32,27
41,07/10/2023,12,45,15,5
39,28/11/2016,14,20,6,24
37,13/04/2019,32,41,20,42
53,13/09/2019,40,17,21,47
53,19/10/2017,39,20,19,42
31,01/08/2021,2,29,48,49
39,17/04/2022,34,36,12,11
37,27/11/2021,31,4,36,32
52,05/09/2016,2,44,0,90
48,09/09/2023,49,9,50,10
38,12/08/2024,19,0,20,36
49,27/12/2018,30,31,6,49
43,27/08/2016,7,42,64,23
33,21/01/2024,27,14,36,3
32,27/05/2021,37,27,12,21
45,11/01/2015,1,17,28,46
31,18/08/2019,29,31,37,18
49,24/07/2016,43,25,0,23
43,11/01/2015,0,16,8,8
39,07/12/2020,35,16,23,20
35,22/05/2018,19,11,37,30
34,02/03/2018,30,44,49,44
51,04/12/2024,40,29,13,26
