escuelaId,anio,semestre,cantidad_alumnos,numero_inscripciones,tasa_desercion,tasa_promocion,numero_maestros,promedio_calificaciones,esUrbana
1,2005,1,300,280,5.25,89.5,15,7.85,true
1,2005,2,290,270,6.1,87.75,14,7.7,true
1,2006,1,150,140,4.5,90,8,8.2,true
1,2006,2,220,200,9,85.2,10,7.4,true
1,2007,1,180,160,7.35,88.1,9,7.95,true
1,2007,2,189,574,2.91,87.61,19,6.81,true
1,2008,1,502,239,11.13,81.11,8,8.4,true
1,2008,2,334,402,7.69,95.75,8,9.24,true
1,2009,1,131,174,6.82,96.11,37,6.24,true
1,2009,2,376,527,10.88,95.46,35,8.88,true
1,2010,1,189,88,5.6,82.12,29,8.07,true
1,2010,2,293,404,10.99,94.29,34,7.67,true
1,2011,1,181,510,11.12,95.78,29,6.64,true
1,2011,2,195,236,7.01,86.57,23,8.08,true
1,2012,1,508,197,9.23,81.45,38,6.82,true
1,2012,2,402,188,11.83,88.97,22,6.51,true
1,2013,1,554,158,4.04,87.32,17,9.2,true
1,2013,2,350,383,2.94,92.22,33,8.28,true
1,2014,1,263,475,9.32,85.93,20,6.86,true
1,2014,2,375,161,4.16,84.23,26,6.74,true
1,2015,1,154,554,8.37,86.59,28,7.76,true
1,2015,2,522,500,11.83,81.57,31,7.38,true
1,2016,1,275,433,2.3,81.8,37,8.13,true
1,2016,2,498,177,3.76,89.27,7,6.97,true
1,2017,1,261,388,9.59,97.71,11,6.06,true
1,2017,2,376,430,11.8,93.63,38,8.17,true
1,2018,1,159,106,11.45,95.72,21,7.65,true
1,2018,2,129,257,10.6,85.97,10,6.59,true
1,2019,1,469,426,11.42,88.18,10,7.24,true
1,2019,2,204,257,10.62,93.04,31,6.89,true
1,2020,1,213,328,7.56,83.46,14,6.94,true
1,2020,2,551,424,7.79,96.47,11,7.34,true
1,2021,1,470,89,7,86.51,35,8.79,true
1,2021,2,308,238,8.23,90.36,31,8.89,true
1,2022,1,217,114,8.27,84.64,10,6.84,true
1,2022,2,456,123,7.9,93.14,5,8.36,true
1,2023,1,149,273,10.19,94.79,20,9.3,true
1,2023,2,226,364,3.49,82.33,15,9.17,true
1,2024,1,287,91,8.56,86.78,13,6.26,true
1,2024,2,170,304,8.76,85.31,31,9.04,true
2,2005,1,451,308,9.06,85.67,20,7.13,false
2,2005,2,557,315,4.86,87.14,34,6.59,false
2,2006,1,380,224,9.65,92.91,38,8.91,false
